Arthur (2011),12222756 ,3276 ,33035397 ,4/8/2011
Derailed,12211986 ,2443 ,36024076 ,11/11/2005
Turner & Hooch,12211042 ,1877 ,71079915 ,7/28/1989
The Mirror Has Two Faces,12210868 ,2489 ,41083864 ,11/15/1996
Vampires Suck,12202831 ,3233 ,36661504 ,8/18/2010
The Back-Up Plan,12201710 ,3280 ,37490007 ,4/23/2010
Ghost,12191540 ,1101 ,217631306 ,7/13/1990
Like Mike,12179420 ,2410 ,51432760 ,7/3/2002
A Walk to Remember,12177488 ,2411 ,41281092 ,1/25/2002
Driven,12174504 ,2905 ,32720065 ,4/27/2001
The Devil's Advocate,12170536 ,2161 ,60944660 ,10/17/1997
Trouble with the Curve,12162040 ,3212 ,35763137 ,9/21/2012
Rocky Balboa,12158168 ,3017 ,70270943 ,12/20/2006
Staying Alive,12146143 ,1660 ,64892670 ,7/15/1983
Secondhand Lions,12139832 ,3013 ,42070939 ,9/19/2003
Sliver,12138283 ,2093 ,36300000 ,5/21/1993
The Fighter,12135468 ,2503 ,93617009 ,12/17/2010
Team America: World Police,12120358 ,2539 ,32786074 ,10/15/2004
Ace Ventura: Pet Detective,12115105 ,1750 ,72217396 ,2/4/1994
Jingle All the Way,12112267 ,2401 ,60592389 ,11/22/1996
Death Becomes Her,12110355 ,1409 ,58422650 ,7/31/1992
Look Who's Talking,12107784 ,1208 ,140088813 ,10/13/1989
Treasure Planet,12083248 ,3227 ,38176783 ,11/27/2002
House of Wax,12077236 ,3111 ,32064800 ,5/6/2005
Executive Decision,12069780 ,2232 ,56569216 ,3/15/1996
Arthur Christmas,12068931 ,3376 ,46462469 ,11/23/2011
Timecop,12064625 ,2228 ,44853581 ,9/16/1994
Transporter 3,12063452 ,2626 ,31715062 ,11/26/2008
The Core,12053131 ,3017 ,31186896 ,3/28/2003
Take the Lead,12051277 ,3009 ,34742066 ,4/7/2006
In Time,12050368 ,3122 ,37520095 ,10/28/2011
Pet Sematary,12046179 ,1585 ,57469467 ,4/21/1989
Primary Colors,12045395 ,1965 ,39001187 ,3/20/1998
Undercover Brother,12037685 ,2167 ,39089928 ,5/31/2002
Predator,12031638 ,1623 ,59735548 ,6/12/1987
Taxi,12029832 ,3001 ,36611066 ,10/6/2004
Darkness Falls,12024917 ,2837 ,32551396 ,1/24/2003
Get Rich or Die Tryin',12020807 ,1652 ,30985352 ,11/9/2005
Out of Sight,12020435 ,2106 ,37562568 ,6/26/1998
Hereafter,12018147 ,2181 ,32746941 ,10/22/2010
Oculus,12005402 ,2648 ,27695246 ,4/11/2014
Deck the Halls,12001256 ,3205 ,35093569 ,11/22/2006
Burlesque,11947744 ,3037 ,39440655 ,11/24/2010
Star Trek: The Motion Picture,11926421 ,857 ,82258456 ,N/A
Sister Act,11894587 ,1430 ,139605150 ,5/29/1992
Return to Never Land,11889631 ,2605 ,48430258 ,2/15/2002
The Best Little Whorehouse in Texas,11874268 ,1400 ,69701637 ,7/23/1982
16 Blocks,11855260 ,2706 ,36895141 ,3/3/2006
Never Been Kissed,11836707 ,2455 ,55474756 ,4/9/1999
Runaway Jury,11836705 ,2815 ,49443628 ,10/17/2003
E.T.: The Extra-Terrestrial,11835389 ,1103 ,359197037 ,6/11/1982
Bride of Chucky,11830855 ,2412 ,32383850 ,10/16/1998
Here Comes the Boom,11816596 ,3014 ,45290318 ,10/12/2012
Dan in Real Life,11809445 ,1921 ,47642963 ,10/26/2007
Heartbreakers,11801323 ,2750 ,40336607 ,3/23/2001
